月度,大阪ｾﾝﾀ消耗品
2010/7,0
2010/8,0
2010/12,0
2011/1,0
2011/2,0
2011/3,0
2011/4,0
2011/6,0
2011/7,0
2011/8,0
2011/9,0
2011/11,0
2011/12,0
2012/1,0
2012/2,0
2012/3,0
2012/4,0
2012/5,0
2012/6,0
2012/7,0
2012/8,0
2012/9,0
2012/10,0
2012/11,0
2012/12,0
2013/1,0
2013/2,0
2013/3,0
2013/4,0
2013/5,0
2013/6,0
2013/7,0
2013/8,0
2013/9,0
2013/10,0
2013/11,0
2013/12,0
2014/1,0
2014/2,0
2014/3,0
2014/4,0
2014/5,0
2014/6,0
2014/7,0
2014/8,0
2014/9,0
2014/10,0
2014/11,0
2014/12,0
2015/1,0
2015/2,0
2015/3,0
2015/4,0
2015/5,0
2015/6,0
2015/7,0
2015/8,0
2015/9,0
2015/10,0
2015/11,0
2015/12,0
2016/1,0
2016/2,0
2016/3,5100
2016/4,20000
2016/5,70600
2016/6,18700
2016/7,67356
2016/8,28828
2016/9,43460
2016/10,33686
2016/11,27820
2016/12,17580
2017/1,15200
2017/2,41090
2017/3,19700
2017/4,12900
2017/5,37560
2017/6,30900
2017/7,42960
2017/8,67418
2017/9,59560
2017/10,13600
2017/11,39620
2017/12,147828
2018/1,126728
2018/2,200811
2018/3,737846
2018/4,864373
2018/5,299242
2018/6,387008
2018/7,503533
2018/8,499579
2018/9,398158
2018/10,287583
2018/11,419983
2018/12,785165
2019/1,317023
2019/2,483278
2019/3,625677
2019/4,857213
2019/5,779819
2019/6,316431
2019/7,563959
2019/8,232868
2019/9,771405
2019/10,1238572
2019/11,904026
2019/12,240051
2020/1,476809
2020/2,535823
2020/3,169420
2020/4,662674
2020/5,488190
2020/6,807771
2020/7,602040
2020/8,515507
2020/9,626688
2020/10,493769
2020/11,1522337
2020/12,495610
2021/1,788970
2021/2,286879
2021/3,523708
2021/4,1051422
2021/5,513974
2021/6,413145
2021/7,798576
2021/8,711780
2021/9,538011
2021/10,623837
2021/11,1647268
2021/12,508790
2022/1,470700
2022/2,408127
2022/3,921484
2022/4,775293
2022/5,1572069
2022/6,858566
2022/7,481854
2022/8,726782
2022/9,1012951
2022/10,1229366
2022/11,977690
2022/12,919233
2023/1,393820
2023/2,382850
2023/3,547556
2023/4,557394
2023/5,336545
2023/6,1228519
2023/7,482298
2023/8,634539
2023/9,630774
2023/10,708294
2023/11,486445
2023/12,950431
2024/1,695998
2024/2,346287
2024/3,498291
2024/4,452079
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
